,0,1,2,3,4
0,20,41,"['Early Sunday, the nationwide death toll had gone up to at least 8,503 people, with at least 312,245 infected, according to data compiled by Johns Hopkins University\n\nThe big test will come in the coming days, said Dr. Deborah Birx, the White House coronavirus response coordinator.']",['Deborah Birx'],Johns Hopkins University
0,25,48,"['Early Sunday, the nationwide death toll had gone up to at least 8,503 people, with at least 312,245 infected, according to data compiled by Johns Hopkins University\n\nWhile speaking at Saturday\'s coronavirus task force briefing at the White House, President Donald Trump said that this week and next will probably be the toughest in the fight against coronavirus and that ""there will be a lot of death.""']",['Donald Trump'],Johns Hopkins University
0,42,67,"['Perhaps our lives now more closely resemble ancient anchorites, religious recluses who lived alone in rooms adjoining churches, said Cathleen Kaveny, a Catholic theologian at Boston College.']",['Cathleen Kaveny'],Boston College
0,43,68,"['""That is Lent,"" says Anthea Butler, a Catholic and scholar of religion at the University of Pennsylvania.']",['Anthea Butler'],University of Pennsylvania
0,62,92,"['At Barnes-Jewish Hospital for adults, that means babies go across the street to St. Louis Children’s Hospital’s “COVID unit.”\n\n“We have a handful of cases every week, and numbers are going up,” said Washington University’s Kelly.']",['Kelly'],University of Washington
0,66,96,"['Dr. Arthur Caplan, a CNN medical analyst and direction of the Division of Medical Ethics at the New York University School of Medicine, said the pandemic will surely hurt patients without the virus.']",['Arthur Caplan'],New York University
0,74,112,"['Johns Hopkins University, which is among few institutions that have been tracking recovered cases, has been doing so since its data collection on Covid-19 cases was first made public in an online dashboard in January, Douglas Donovan, a spokesman for the university in Baltimore, said in an email on Friday.']",['Douglas Donovan'],Johns Hopkins University
0,88,128,"['Unseen threats can also cause people to be more callous to fellow human beings, says Ulrich Lehner, a Catholic theologian at the University of Notre Dame.']",['Ulrich Lehner'],University of Notre Dame
0,103,144,"[""If the current trend continues, the outlook is bleak, said Kentaro Iwata, an infection control specialist from Kobe University, who has repeatedly warned that Japan isn't doing enough to halt the spread of the virus.""]",['Kentaro Iwata'],Koç University
0,118,162,"['""We could see it from our windows,"" said Dr. Robert Wachter, professor and chair of the Department of Medicine at University of California, San Francisco.']",['Robert Wachter'],"University of California, Berkeley"
0,122,166,"[""Dr. Robert David Siegel, a professor in the Department of Microbiology and Immunology at Stanford University, said California was also aided in stemming the virus' spread by strong and early public health awareness campaigns and a sprawling demography compared to places like New York City.""]",['Robert David Siegel'],Stanford University
0,176,239,"['""As we enter a recession, it\'s great to see hiring,"" said Daniel Schnieder, an assistant professor of sociology at University of California, Berkeley.']",['Daniel Schnieder'],"University of California, Berkeley"
0,178,244,"[""And Georgia's Republican Secretary of State Brad Raffensperger also said he would send absentee request forms to all voters, who can ask for mail-in ballots for the May primary and November general election.""]",['Brad Raffensperger'],Pennsylvania State University
0,181,248,"['Subhajit Basu, professor in Information Technology Law at the University of Leeds, said GDPR could encourage people to opt in because the legislation promises transparency in how and where your data is being processed, if not total privacy.']",['Subhajit Basu'],University of Leeds
0,194,265,"['""In the majority of households, where the man is the higher earner, there is going to be a temptation to cater to his career — and it\'s not impossible that it could have longer term effects,"" said Francine Blau, an economics professor at Cornell University who has conducted numerous studies on the gender pay gap.']",['Francine Blau'],Cornell University
0,199,273,"['""You take a jellybean in one hand, and with the other hand you hold your nose tightly so you\'re not getting any air flow,"" said Steven Munger, director of the Center for Smell and Taste at the University of Florida.']",['Steven Munger'],University of Florida
0,201,275,"['Additionally, when they were called on the day of Harvey\'s death, medics arrived in ""six minutes,"" the LAS said.']",['Harvey'],University of Glasgow
0,210,286,"['We\'re actually at an advantage being in a community like Waterloo,"" Delagardelle said.']",['Delagardelle'],University of Waterloo
0,267,359,"['These researchers squirted the virus down the cats nose in high concentration, which is pretty artificial,"" said Dr. John Williams, chief of the division of pediatric infectious diseases at the University of Pittsburgh Medical Center Children\'s Hospital of Pittsburgh.']",['John Williams'],University of Pittsburgh
0,268,360,"['""That\'s a whole lot more than an average human would get,"" said infectious disease expert Dr. William Schaffner, a professor of preventative medicine and infectious disease at Vanderbilt University School of Medicine in Nashville.']",['William Schaffner'],Vanderbilt University
0,277,370,"['Like the intelligence agencies they oversee like the CIA and NSA, committee staffers are working in shifts to keep the office staffed while reducing the number of people in the offices, Cohen said.']",['Cohen'],University of Valencia
0,282,377,"['The challenge, says Susan Michie, the director of the Centre for Behaviour Change at University College London, is frustratingly simple.']",['Susan Michie'],University College London
0,283,378,"['Your hands could be as dirty or as contaminated as you like,"" says Robert West, a professor of health psychology at University College London.']",['Robert West'],University College London
0,284,379,"['""They are totally comfortable, and you can see really well,"" said Dr. Ben LaBrot, the founder of Floating Doctors and a clinical assistant professor of medical education at the University of Southern California\'s Keck School of Medicine.']",['Ben LaBrot'],University of Southern California
0,325,423,"['But for those that do, being with a lot of other people creates a physiological pleasure, endorphins, etcetera, go off,"" said Michael Muthukrishna, an assistant professor of Economic Psychology with the London School of Economics and Political Science.']",['Michael Muthukrishna'],London School of Economics and Political Science
0,337,443,"['Republican Sen. Josh Hawley of Missouri also criticized the IRS guidance, calling it ""ridiculous"" and saying the ""IRS should follow the law that Congress passed.""']",['Josh Hawley'],Sun Yat-sen University
